         # i           j           u
           0           0      -6.963
           0           1     -12.426
           0           2    -16.9819
           0           3    -20.9097
           0           4    -24.3619
           0           5    -27.4325
           0           6    -30.1848
           0           7    -32.6639
           0           8    -34.9036
           0           9    -36.9302
           0          10    -38.7645
           0          11    -40.4234
           0          12    -41.9209
           0          13    -43.2685
           0          14     -44.476
           0          15    -45.5517
           0          16    -46.5026
           0          17    -47.3345
           0          18    -48.0524
           0          19    -48.6606
           0          20    -49.1624
           0          21    -49.5606
           0          22    -49.8574
           0          23    -50.0544
           0          24    -50.1526
           0          25    -50.1526
           0          26    -50.0544
           0          27    -49.8574
           0          28    -49.5606
           0          29    -49.1624
           0          30    -48.6606
           0          31    -48.0524
           0          32    -47.3345
           0          33    -46.5026
           0          34    -45.5517
           0          35     -44.476
           0          36    -43.2685
           0          37    -41.9209
           0          38    -40.4234
           0          39    -38.7645
           0          40    -36.9302
           0          41    -34.9036
           0          42    -32.6639
           0          43    -30.1848
           0          44    -27.4325
           0          45    -24.3619
           0          46    -20.9097
           0          47    -16.9819
           0          48     -12.426
           0          49      -6.963
           1           0     -12.426
           1           1     -22.759
           1           2    -31.5921
           1           3     -39.295
           1           4    -46.1053
           1           5    -52.1834
           1           6    -57.6428
           1           7    -62.5671
           1           8    -67.0204
           1           9    -71.0527
           1          10    -74.7044
           1          11    -78.0082
           1          12    -80.9916
           1          13     -83.677
           1          14    -86.0839
           1          15    -88.2283
           1          16    -90.1241
           1          17     -91.783
           1          18    -93.2147
           1          19    -94.4275
           1          20    -95.4283
           1          21    -96.2226
           1          22    -96.8146
           1          23    -97.2075
           1          24    -97.4035
           1          25    -97.4035
           1          26    -97.2075
           1          27    -96.8146
           1          28    -96.2226
           1          29    -95.4283
           1          30    -94.4275
           1          31    -93.2147
           1          32     -91.783
           1          33    -90.1241
           1          34    -88.2283
           1          35    -86.0839
           1          36     -83.677
           1          37    -80.9916
           1          38    -78.0082
           1          39    -74.7044
           1          40    -71.0527
           1          41    -67.0204
           1          42    -62.5671
           1          43    -57.6428
           1          44    -52.1834
           1          45    -46.1053
           1          46     -39.295
           1          47    -31.5921
           1          48     -22.759
           1          49     -12.426
           2           0    -16.9819
           2           1    -31.5921
           2           2    -44.3324
           2           3    -55.5727
           2           4    -65.5809
           2           5    -74.5531
           2           6    -82.6358
           2           7    -89.9415
           2           8    -96.5581
           2           9    -102.556
           2          10    -107.992
           2          11    -112.914
           2          12     -117.36
           2          13    -121.364
           2          14    -124.954
           2          15    -128.154
           2          16    -130.983
           2          17    -133.459
           2          18    -135.596
           2          19    -137.406
           2          20    -138.901
           2          21    -140.087
           2          22    -140.971
           2          23    -141.558
           2          24     -141.85
           2          25     -141.85
           2          26    -141.558
           2          27    -140.971
           2          28    -140.087
           2          29    -138.901
           2          30    -137.406
           2          31    -135.596
           2          32    -133.459
           2          33    -130.983
           2          34    -128.154
           2          35    -124.954
           2          36    -121.364
           2          37     -117.36
           2          38    -112.914
           2          39    -107.992
           2          40    -102.556
           2          41    -96.5581
           2          42    -89.9415
           2          43    -82.6358
           2          44    -74.5531
           2          45    -65.5809
           2          46    -55.5727
           2          47    -44.3324
           2          48    -31.5921
           2          49    -16.9819
           3           0    -20.9097
           3           1     -39.295
           3           2    -55.5727
           3           3    -70.0827
           3           4    -83.0926
           3           5    -94.8121
           3           6    -105.406
           3           7    -115.005
           3           8    -123.715
           3           9    -131.621
           3          10    -138.794
           3          11    -145.294
           3          12    -151.171
           3          13    -156.466
           3          14    -161.215
           3          15    -165.449
           3          16    -169.194
           3          17    -172.473
           3          18    -175.303
           3          19    -177.702
           3          20    -179.682
           3          21    -181.253
           3          22    -182.424
           3          23    -183.202
           3          24     -183.59
           3          25     -183.59
           3          26    -183.202
           3          27    -182.424
           3          28    -181.253
           3          29    -179.682
           3          30    -177.702
           3          31    -175.303
           3          32    -172.473
           3          33    -169.194
           3          34    -165.449
           3          35    -161.215
           3          36    -156.466
           3          37    -151.171
           3          38    -145.294
           3          39    -138.794
           3          40    -131.621
           3          41    -123.715
           3          42    -115.005
           3          43    -105.406
           3          44    -94.8121
           3          45    -83.0926
           3          46    -70.0827
           3          47    -55.5727
           3          48     -39.295
           3          49    -20.9097
           4           0    -24.3619
           4           1    -46.1053
           4           2    -65.5809
           4           3    -83.0926
           4           4    -98.8947
           4           5    -113.197
           4           6    -126.171
           4           7    -137.958
           4           8    -148.674
           4           9    -158.418
           4          10     -167.27
           4          11    -175.299
           4          12    -182.563
           4          13    -189.113
           4          14    -194.991
           4          15    -200.234
           4          16    -204.873
           4          17    -208.935
           4          18    -212.443
           4          19    -215.416
           4          20    -217.871
           4          21    -219.819
           4          22    -221.272
           4          23    -222.236
           4          24    -222.717
           4          25    -222.717
           4          26    -222.236
           4          27    -221.272
           4          28    -219.819
           4          29    -217.871
           4          30    -215.416
           4          31    -212.443
           4          32    -208.935
           4          33    -204.873
           4          34    -200.234
           4          35    -194.991
           4          36    -189.113
           4          37    -182.563
           4          38    -175.299
           4          39     -167.27
           4          40    -158.418
           4          41    -148.674
           4          42    -137.958
           4          43    -126.171
           4          44    -113.197
           4          45    -98.8947
           4          46    -83.0926
           4          47    -65.5809
           4          48    -46.1053
           4          49    -24.3619
           5           0    -27.4325
           5           1    -52.1834
           5           2    -74.5531
           5           3    -94.8121
           5           4    -113.197
           5           5     -129.91
           5           6    -145.123
           5           7    -158.981
           5           8    -171.608
           5           9    -183.107
           5          10    -193.568
           5          11    -203.067
           5          12     -211.67
           5          13    -219.432
           5          14    -226.402
           5          15    -232.622
           5          16    -238.128
           5          17    -242.951
           5          18    -247.117
           5          19    -250.649
           5          20    -253.566
           5          21    -255.881
           5          22    -257.607
           5          23    -258.754
           5          24    -259.325
           5          25    -259.325
           5          26    -258.754
           5          27    -257.607
           5          28    -255.881
           5          29    -253.566
           5          30    -250.649
           5          31    -247.117
           5          32    -242.951
           5          33    -238.128
           5          34    -232.622
           5          35    -226.402
           5          36    -219.432
           5          37     -211.67
           5          38    -203.067
           5          39    -193.568
           5          40    -183.107
           5          41    -171.608
           5          42    -158.981
           5          43    -145.123
           5          44     -129.91
           5          45    -113.197
           5          46    -94.8121
           5          47    -74.5531
           5          48    -52.1834
           5          49    -27.4325
           6           0    -30.1848
           6           1    -57.6428
           6           2    -82.6358
           6           3    -105.406
           6           4    -126.171
           6           5    -145.123
           6           6    -162.429
           6           7    -178.236
           6           8    -192.668
           6           9    -205.834
           6          10    -217.829
           6          11    -228.733
           6          12    -238.617
           6          13    -247.543
           6          14    -255.563
           6          15    -262.724
           6          16    -269.066
           6          17    -274.624
           6          18    -279.426
           6          19    -283.498
           6          20    -286.861
           6          21    -289.532
           6          22    -291.523
           6          23    -292.846
           6          24    -293.505
           6          25    -293.505
           6          26    -292.846
           6          27    -291.523
           6          28    -289.532
           6          29    -286.861
           6          30    -283.498
           6          31    -279.426
           6          32    -274.624
           6          33    -269.066
           6          34    -262.724
           6          35    -255.563
           6          36    -247.543
           6          37    -238.617
           6          38    -228.733
           6          39    -217.829
           6          40    -205.834
           6          41    -192.668
           6          42    -178.236
           6          43    -162.429
           6          44    -145.123
           6          45    -126.171
           6          46    -105.406
           6          47    -82.6358
           6          48    -57.6428
           6          49    -30.1848
           7           0    -32.6639
           7           1    -62.5671
           7           2    -89.9415
           7           3    -115.005
           7           4    -137.958
           7           5    -158.981
           7           6    -178.236
           7           7    -195.865
           7           8    -211.994
           7           9    -226.733
           7          10     -240.18
           7          11    -252.418
           7          12    -263.523
           7          13    -273.559
           7          14    -282.583
           7          15    -290.646
           7          16    -297.789
           7          17    -304.052
           7          18    -309.465
           7          19    -314.057
           7          20    -317.849
           7          21    -320.862
           7          22    -323.108
           7          23      -324.6
           7          24    -325.344
           7          25    -325.344
           7          26      -324.6
           7          27    -323.108
           7          28    -320.862
           7          29    -317.849
           7          30    -314.057
           7          31    -309.465
           7          32    -304.052
           7          33    -297.789
           7          34    -290.646
           7          35    -282.583
           7          36    -273.559
           7          37    -263.523
           7          38    -252.418
           7          39     -240.18
           7          40    -226.733
           7          41    -211.994
           7          42    -195.865
           7          43    -178.236
           7          44    -158.981
           7          45    -137.958
           7          46    -115.005
           7          47    -89.9415
           7          48    -62.5671
           7          49    -32.6639
           8           0    -34.9036
           8           1    -67.0204
           8           2    -96.5581
           8           3    -123.715
           8           4    -148.674
           8           5    -171.608
           8           6    -192.668
           8           7    -211.994
           8           8     -229.71
           8           9    -245.925
           8          10    -260.739
